Campaign_ID,Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company,Year,Month,CTR
284821,Men 45-60,Product Launch,15 Days,Twitter,0.04,500.0,6.79,Miami,English,1150,4926,1,Home,2022-07-18,Nest Neat,2022,7,23.345513601299228
786472,Women 25-34,Brand Awareness,15 Days,Twitter,0.1,2977.3,2.08,Las Vegas,French,7317,23192,9,Home,2022-01-17,Furnish Fine,2022,1,31.549672300793375
774164,Men 35-44,Increase Sales,30 Days,Twitter,0.13,6064.53,4.49,Las Vegas,French,15675,47948,8,Home,2022-08-03,Decor Dreams,2022,8,32.69166597146909
494105,Women 35-44,Market Expansion,60 Days,Facebook,0.15,15000.0,4.19,Austin,Spanish,39910,119735,4,Technology,2022-07-26,Innovate Infinity,2022,7,33.33194137052658
382984,Women 45-60,Market Expansion,45 Days,Twitter,0.15,8899.65,5.09,New York,English,23353,70692,6,Home,2022-11-05,Decor Dreams,2022,11,33.03485542918576
824109,Men 45-60,Increase Sales,15 Days,Pinterest,0.11,1857.02,0.2770582586886559,Austin,English,2679,9707,1,Home,2022-05-03,Homely Haven,2022,5,27.59864015658803
814907,All Ages,Product Launch,60 Days,Facebook,0.02,12347.82,6.09,Los Angeles,French,32688,98344,1,Food,2022-07-19,Gourmet Grove,2022,7,33.23842837387131
559376,All Ages,Increase Sales,30 Days,Pinterest,0.03,6681.21,1.2851928257880236,Miami,English,10176,34115,1,Home,2022-07-24,Hearth Harmony,2022,7,29.82852117836729
538661,Men 18-24,Product Launch,15 Days,Instagram,0.11,3956.43,2.19,Las Vegas,Spanish,9921,30907,4,Technology,2022-11-08,Innovate Infinity,2022,11,32.099524379590385
896741,Men 35-44,Increase Sales,45 Days,Instagram,0.05,11047.8,3.18,Austin,Spanish,29204,88024,5,Fashion,2022-07-28,Runway Rebels,2022,7,33.177315277651545
695852,Women 45-60,Brand Awareness,30 Days,Twitter,0.05,7673.11,0.31,Austin,Spanish,20014,60801,10,Health,2022-01-19,Fitness Front,2022,1,32.91722175622112
941372,Women 45-60,Market Expansion,45 Days,Facebook,0.02,8032.81,5.73,Miami,French,21005,63736,3,Home,2022-05-09,Nest Neat,2022,5,32.95625706037404
